Corsair Vengeance LPX,DDR4,8,2,3200 mHz,Black/Yellow,77.99
G.Skill Ripjaws V F4-2133C15D-16GVR,DDR4,8,2,2133 mHz,Red,68.99
G.Skill Ripjaws V F4-2133C15Q-16GVR,DDR4,4,4,3200 mHz,Red,79.99
Crucial Ballistix RGB 16GB Kit,DDR4,8,2,3200 mHz,Black,91.99
G.Skill Ripjaws V F4-2400C17S-4GVR,DDR4,4,1,2400 mHz,Black/Red,37.99
Crucial CT4G4DFS8213,DDR4,8,2,2133 mHz,Black/Green,44.99
G.Skill Ripjaws X Series,DDR3,8,2,1600 mHz,Black/Red,42.99
Crucial CT51264BA1339J,DDR3,4,2,1333 mHz,Black/Green,62.25
Crucial CT2KIT25664BA1339,DDR3,2,2,1333 mHz,Green,28.99
Crucial CT8G48C40U5,DDR5,8,1,4800 mHz,Black,67.99
Crucial CT2K8G48C40U5,DDR5,8,2,4800 mHz,Black,136.99
